# Constructed from biom file
#OTU ID	MI-001-H	MI-003-H	MI-009-H	MI-012-H	MI-022-H	MI-023-H	MI-025-H	MI-037-H	MI-038-H	MI-043-H	MI-058-H	MI-060-H	MI-068-H	MI-069-H	MI-073-H	MI-082-H	MI-085-H	MI-086-H	MI-088-H	MI-090-H	MI-099-H	MI-103-H	MI-105-H	MI-109-H	MI-112-H	MI-113-H	MI-116-H	MI-118-H	MI-131-H	MI-147-H	MI-156-H	MI-158-H	MI-160-H	MI-165-H	MI-166-H	MI-168-H	MI-176-H	MI-178-H	MI-179-H	MI-187-H	MI-192-H	MI-201-H	MI-219-H	MI-222-H	MI-224-H	MI-227-H	MI-228-H	MI-229-H	MI-234-H	MI-235-H	MI-239-H	MI-242-H	MI-243-H	MI-244-H	MI-250-H	MI-252-H	MI-257-H	MI-261-H	MI-269-H	MI-273-H	MI-274-H	MI-275-H	MI-281-H	MI-285-H	MI-287-H	MI-289-H	MI-291-H	MI-295-H	MI-297-H	MI-307-H	MI-322-H	MI-324-H	MI-326-H	MI-327-H	MI-335-H	MI-339-H	MI-344-H	MI-346-H	MI-351-H	MI-353-H	MI-354-H	MI-355-H	MI-359-H	MI-360-H	MI-366-H	MI-369-H	MI-373-H	MI-374-H	MI-381-H	MI-384-H	MI-386-H	MI-388-H	MI-389-H	MI-392-H	MI-394-H	MI-395-H	MI-396-H	MI-397-H	MI-400-H	MI-404-H	MI-405-H	MI-406-H	MI-410-H	MI-414-H	MI-417-H	MI-421-H	MI-426-H	MI-436-H	MI-438-H	MI-440-H	MI-447-H	MI-450-H	MI-455-H	MI-459-H
1b158b8b2922d4fcad5d9cea607cbb7d	25.0	46.0	12.0	19.0	10.0	68.0	270.0	16.0	115.0	1320.0	898.0	68.0	374.0	2490.0	289.0	12.0	101.0	1104.0	495.0	107.0	12899.0	79.0	75.0	1110.0	147.0	246.0	1214.0	54.0	44.0	25.0	457.0	146.0	2837.0	224.0	933.0	207.0	163.0	268.0	11.0	1067.0	662.0	20.0	7127.0	12.0	1243.0	4362.0	8000.0	1978.0	7255.0	469.0	1429.0	10732.0	1184.0	755.0	2128.0	32067.0	11616.0	43691.0	25909.0	72.0	186.0	1740.0	934.0	436.0	260.0	27703.0	58.0	0.0	3744.0	225.0	531.0	24.0	667.0	2005.0	617.0	41.0	4895.0	218.0	32.0	50596.0	6784.0	191.0	893.0	3481.0	2005.0	173.0	226.0	5781.0	15.0	0.0	255.0	90.0	58.0	64.0	74.0	1203.0	5177.0	777.0	100.0	140.0	2288.0	205.0	196.0	555.0	1082.0	64.0	4.0	739.0	927.0	12129.0	2415.0	866.0	26232.0	76.0
8f98fb8693ed59c21399d83ce2d10724	27.0	0.0	577.0	312.0	0.0	4742.0	10453.0	72.0	5.0	0.0	2.0	737.0	0.0	0.0	0.0	1958.0	11.0	0.0	26632.0	0.0	29.0	13.0	1468.0	67.0	18250.0	20219.0	2259.0	0.0	27.0	22.0	138.0	0.0	0.0	10.0	3.0	43.0	6743.0	15774.0	14.0	3.0	3.0	0.0	15499.0	0.0	0.0	0.0	0.0	9302.0	0.0	0.0	53.0	29.0	430.0	13.0	7266.0	11.0	2579.0	0.0	507.0	0.0	15869.0	0.0	2988.0	23088.0	90.0	10.0	987.0	0.0	0.0	241.0	394.0	0.0	0.0	16037.0	13679.0	30.0	0.0	7.0	124.0	21.0	60.0	239.0	0.0	1446.0	0.0	0.0	0.0	1670.0	433.0	7169.0	12967.0	0.0	142.0	0.0	150.0	51.0	9562.0	40.0	23722.0	1766.0	12260.0	3851.0	0.0	13653.0	8.0	29.0	74.0	11562.0	2.0	0.0	0.0	0.0	0.0	0.0
4bf3198c78397be5af0b7325d20558de	251.0	118.0	73.0	172.0	0.0	26.0	23.0	0.0	638.0	572.0	4646.0	441.0	193.0	432.0	9.0	0.0	15132.0	732.0	11.0	487.0	278.0	0.0	3.0	2.0	35.0	0.0	0.0	18.0	10792.0	1672.0	0.0	109.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	210.0	482.0	0.0	480.0	89.0	0.0	517.0	355.0	13.0	2210.0	975.0	2038.0	0.0	37725.0	699.0	0.0	410.0	0.0	26.0	0.0	33.0	79.0	632.0	2045.0	43.0	141.0	211.0	1942.0	275.0	2681.0	0.0	184.0	0.0	13632.0	58.0	1420.0	18139.0	0.0	49.0	0.0	0.0	0.0	10813.0	23387.0	9049.0	0.0	7795.0	19386.0	9.0	6.0	19336.0	576.0	71.0	4495.0	1096.0	9318.0	14.0	139.0	0.0	42392.0	0.0	178.0	0.0	11424.0	10.0	130.0	15175.0	83.0	7335.0	0.0	513.0	1100.0
e553b9a0bb32467c71c89a4e97e55792	275.0	1483.0	6231.0	9733.0	4.0	572.0	1450.0	441.0	375.0	80.0	315.0	8462.0	5653.0	114.0	2271.0	8303.0	1445.0	10525.0	128.0	713.0	373.0	0.0	1007.0	2972.0	1147.0	622.0	903.0	545.0	292.0	438.0	743.0	883.0	295.0	5625.0	0.0	1241.0	3266.0	3837.0	11356.0	1457.0	9296.0	9536.0	13.0	26.0	69.0	63.0	535.0	419.0	20.0	123.0	4.0	44.0	549.0	250.0	135.0	13.0	78.0	0.0	2611.0	25004.0	149.0	0.0	14.0	10.0	48.0	156.0	243.0	750.0	30.0	179.0	308.0	10.0	137.0	9.0	339.0	118.0	292.0	13.0	166.0	0.0	26.0	8.0	0.0	0.0	56.0	26.0	29.0	316.0	101.0	0.0	1007.0	264.0	18.0	9.0	27.0	33.0	395.0	63.0	286.0	588.0	55.0	611.0	267.0	383.0	40.0	119.0	55.0	33.0	19.0	102.0	64.0	2083.0	9.0	38.0
36c384f43361bdb56744d67b5cef1583	195.0	0.0	212.0	0.0	6781.0	9.0	0.0	8163.0	9312.0	5371.0	6646.0	43.0	13.0	0.0	0.0	0.0	0.0	3.0	17620.0	4276.0	0.0	0.0	3523.0	0.0	0.0	0.0	2673.0	5531.0	0.0	1849.0	0.0	1330.0	8805.0	188.0	0.0	302.0	15408.0	16688.0	0.0	1717.0	0.0	0.0	7.0	0.0	11.0	0.0	29.0	1061.0	0.0	2018.0	0.0	4.0	430.0	8.0	0.0	0.0	56.0	0.0	0.0	22.0	0.0	0.0	6067.0	0.0	573.0	86.0	2.0	0.0	13.0	0.0	0.0	0.0	0.0	2992.0	0.0	10.0	0.0	67.0	0.0	0.0	12.0	0.0	0.0	15.0	50.0	7.0	245.0	0.0	18.0	9.0	0.0	0.0	63.0	464.0	116.0	5.0	22.0	18.0	0.0	7691.0	1362.0	0.0	0.0	13.0	119.0	1552.0	0.0	0.0	111.0	61.0	3.0	12.0	8.0	0.0
677929eac52be081cdae08a0b9c70eb2	0.0	1234.0	0.0	59.0	0.0	22.0	0.0	0.0	7.0	15.0	11.0	0.0	15.0	7246.0	8.0	0.0	5.0	240.0	0.0	264.0	5.0	0.0	0.0	117.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	11.0	0.0	285.0	404.0	106.0	0.0	0.0	3.0	8.0	105.0	42.0	55.0	17.0	8853.0	7109.0	8853.0	21.0	3611.0	75.0	48.0	1644.0	1647.0	836.0	10.0	13488.0	3465.0	431.0	1894.0	1472.0	16.0	789.0	0.0	3.0	157.0	1013.0	0.0	0.0	1881.0	19.0	701.0	13.0	1344.0	16.0	0.0	0.0	4519.0	392.0	227.0	1495.0	30.0	24563.0	0.0	28.0	393.0	14.0	4.0	148.0	557.0	0.0	233.0	37.0	45.0	37.0	19164.0	87.0	48.0	333.0	0.0	130.0	101.0	347.0	113.0	6.0	1613.0	129.0	35.0	213.0	2478.0	74.0	129.0	13.0	5.0	0.0
c505404abf2952958e1f438217081417	427.0	0.0	0.0	17.0	37332.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	32.0	0.0	0.0	16.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9501.0	0.0	2446.0	0.0	0.0	2914.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	845.0	0.0	0.0	0.0	0.0	3824.0	0.0	0.0	0.0	0.0	0.0	0.0	680.0	0.0	0.0	53367.0	123.0	39.0	1533.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	2376.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0
554c761996ebab999befda1b695fd81d	497.0	3821.0	377.0	0.0	24.0	44.0	0.0	26.0	1596.0	518.0	440.0	0.0	3185.0	2.0	11486.0	0.0	0.0	0.0	426.0	0.0	0.0	0.0	2265.0	6387.0	600.0	0.0	529.0	0.0	93.0	1269.0	0.0	397.0	2491.0	2147.0	4119.0	0.0	4931.0	1032.0	0.0	5584.0	2798.0	3159.0	16.0	0.0	0.0	0.0	51.0	99.0	79.0	259.0	70.0	154.0	45.0	241.0	35.0	46.0	72.0	124.0	445.0	0.0	512.0	0.0	0.0	530.0	424.0	46.0	3349.0	6288.0	0.0	214.0	0.0	20.0	40.0	64.0	0.0	63.0	0.0	21.0	25.0	132.0	8.0	6.0	0.0	2876.0	58.0	22.0	180.0	0.0	223.0	0.0	57.0	0.0	15.0	23.0	11.0	38.0	0.0	10.0	0.0	388.0	353.0	274.0	0.0	0.0	0.0	91.0	260.0	0.0	11.0	27.0	35.0	991.0	3.0	0.0
e0a25143b7f2e59d7266ee802d1aeb61	253.0	0.0	6.0	0.0	19.0	0.0	548.0	256.0	3782.0	2263.0	1850.0	20.0	0.0	130.0	15.0	74.0	0.0	0.0	534.0	4022.0	50.0	283.0	1041.0	33.0	573.0	207.0	1854.0	818.0	0.0	1335.0	0.0	1538.0	1929.0	26.0	0.0	424.0	492.0	480.0	7.0	49.0	0.0	0.0	0.0	19.0	816.0	100.0	44.0	1057.0	3.0	6331.0	61.0	102.0	4963.0	231.0	0.0	0.0	119.0	0.0	54.0	0.0	0.0	0.0	583.0	0.0	5530.0	75.0	32.0	918.0	5.0	1954.0	43.0	0.0	0.0	40.0	339.0	31.0	131.0	271.0	6.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	643.0	3955.0	38.0	11.0	12.0	0.0	38.0	362.0	7.0	4.0	331.0	0.0	376.0	130.0	203.0	0.0	24.0	0.0	19.0	2160.0	0.0	35.0	125.0	921.0	443.0	0.0	39.0	0.0
f7ae6b2c56937893ef465d6e830b22a0	0.0	0.0	6.0	0.0	0.0	130.0	4526.0	262.0	0.0	587.0	0.0	0.0	9.0	1628.0	0.0	11.0	0.0	40.0	0.0	566.0	23.0	0.0	1053.0	25.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1186.0	0.0	0.0	0.0	0.0	1693.0	2205.0	0.0	0.0	0.0	0.0	0.0	2097.0	12.0	466.0	0.0	0.0	0.0	0.0	3.0	1149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11427.0	27.0	0.0	205.0	50.0	174.0	0.0	0.0	0.0	66.0	0.0	18.0	8.0	0.0	0.0	0.0	925.0	419.0	11.0	6966.0	389.0	0.0	13.0	10.0	0.0	0.0	0.0	0.0	772.0	0.0	0.0	3016.0	23.0	148.0	5259.0	0.0	3686.0	0.0	755.0	40.0	0.0	0.0
