id	name	domain	phylum	class	order	family	genus	species
1b158b8b2922d4fcad5d9cea607cbb7d	Unclassified Escherichia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA
8f98fb8693ed59c21399d83ce2d10724	Akkermansia muciniphila	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila
4bf3198c78397be5af0b7325d20558de	Unclassified Prevotella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
e553b9a0bb32467c71c89a4e97e55792	Gemmiger qucibialis	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	qucibialis
36c384f43361bdb56744d67b5cef1583	Unclassified Methanobrevibacter_A	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_A	NA
677929eac52be081cdae08a0b9c70eb2	Unclassified Enterobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	NA
c505404abf2952958e1f438217081417	Akkermansia muciniphila_B	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	muciniphila_B
554c761996ebab999befda1b695fd81d	Bifidobacterium adolescentis	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	adolescentis
e0a25143b7f2e59d7266ee802d1aeb61	Unclassified CAG-83	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	NA
f7ae6b2c56937893ef465d6e830b22a0	Ruminococcus_E sp003526955	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	sp003526955
351c1c41eb96b3ed2975bfe7f01eb9d7	Prevotella copri_A	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	copri_A
a070c2e394db428a514dfa385c502b8e	CAG-180 sp000432435	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	sp000432435
aed3f59201e3b9d21858f36557f42a80	Gemmiger formicilis	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	formicilis
90a05d597112b554e4480a8eaae4e0aa	Unclassified Dorea_A	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	NA
dfba68ef0fd0e712608eb2a0078013a7	Unclassified Collinsella	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
fd2130b6a8a1db45c0f5381012b2e5e7	UBA11524 sp000437595	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	UBA11524	sp000437595
bd2ebc70501f7d867c204f94c4e483da	Unclassified Streptococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
88c3b2c4cdf2e1ac74425b14960376be	Unclassified Prevotella	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
c4995645e0c1545b0e1620144d03772b	ER4 sp000765235	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	sp000765235
fc02af89d869043b296114729009a5b0	Unclassified Ruminococcus_E	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	NA
2d34c22edce4b1f2d8a5228ad78f8ea8	Agathobacter rectalis	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	rectalis
464a52deb6e8c4e2b57d980a8d18f04c	Unclassified GCA-900066495	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066495	NA
d94a05561f7643eeb4a75f59435df2df	Ellagibacter isourolithinifaciens	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Ellagibacter	isourolithinifaciens
69e611251f4d8582e312afa5737f033e	Unclassified Bifidobacterium	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
c1dc9ad5116d96b8ed863458fc0d0aec	Unclassified Blautia_A	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	NA
