seq_id,query,gtdb,domain,phylum,class,order,family,genus,species
0ab543450527870d205294ff3cfaaa26,RS_GCF_000162015.1,RS_GCF_000162015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C
02e6879533c8fd41e194d1226ee31305,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
8e3b27a7eed7f7feba87ff73a594e22f,g__Gemmiger,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,g__Gemmiger.sp
29f41cc61437f22e3275bd8fdd37c6bc,GB_GCA_004557855.1,GB_GCA_004557855.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Angelakisella,s__Angelakisella sp004557855
5a678ad52d4e422df647dff6ab5fab92,GB_GCA_003487665.1,GB_GCA_003487665.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp003487665
9ba5289f394c5469aafb7992b7ada186,GB_GCA_900313895.1,GB_GCA_900313895.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp900313895
ad7b6655e713c605ce3dea3b1aa21e38,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
045cad1db38b6e4bbee741d6ef9149ca,RS_GCF_003460745.1,RS_GCF_003460745.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Monoglobales_A,f__UBA1381,g__CAG-41,s__CAG-41 sp900066215
6dc0121b2925f11781e66ae9edb375de,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
e4cafc273a760955d3c1b8163d2dd792,GB_GCA_900552845.1,GB_GCA_900552845.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Angelakisella,s__Angelakisella sp900552845
87073ec1c70ef7b4300acc32248c3681,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
ec7038239c1de4cf62399cae9c84b9d8,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
05e984bb0d376d4027eda5f8691a85db,GB_GCA_900552845.1,GB_GCA_900552845.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Angelakisella,s__Angelakisella sp900552845
9f91cdf62e807cd6504c60f66ada7074,GB_GCA_900539695.1,GB_GCA_900539695.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp900539695
26e6362dbbe0baf394d15e0b29148d1e,GB_GCA_003487665.1,GB_GCA_003487665.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp003487665
dfb9e4cf3ae1e57b791f8f88e6728690,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
83d10caa1f8cee049908ed3157ee197a,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
ccb1d7070a5043cb9016e5faa7082640,GB_GCA_003487665.1,GB_GCA_003487665.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp003487665
576b95a99e039d9fcae2e2a1b16f3d94,g__Faecalibacterium,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,g__Faecalibacterium.sp
04a86cfde1c1064133a8e9a5daf0c40e,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
b1455b7a2380ed4658ab7e40bf67c072,RS_GCF_000765235.1,RS_GCF_000765235.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__ER4 sp000765235
42eec8d529fb3f889e8f5ec1ad389049,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
00a572b553cda29e2217b2dba237ca05,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
75cd5085602003b806c75b790deed0dc,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
2853a58d1dbd11112203ccf3d72a9189,GB_GCA_900547385.1,GB_GCA_900547385.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Angelakisella,s__Angelakisella sp900547385
75e20a338a276fc86f3673b5817918f3,RS_GCF_000765235.1,RS_GCF_000765235.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__ER4 sp000765235
32bdac4b37abf43e213bf6c7702bff85,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
058473ce8d711493d246c816cd350df4,RS_GCF_000162015.1,RS_GCF_000162015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C
b88ba71ffc92c16224d2782d7f6b42f3,RS_GCF_000162015.1,RS_GCF_000162015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C
916778b82347e42c90a7af88a78d8fbd,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
14db29b7163f2bab7df60b2fa1afe50e,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
d76442960d2bb884312d5c3ab916c148,GB_GCA_003526955.1,GB_GCA_003526955.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp003526955
a5db72aa0bca04d95d9f68f3d20271fc,GB_GCA_000432435.1,GB_GCA_000432435.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-180,s__CAG-180 sp000432435
bba8ceb268c2248ea9b70a7de479424e,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
a4df56e80c6ea173e763c7db2f7a56fc,g__CAG-83,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,g__CAG-83.sp
a538b600c99380be0d2714b739c74dac,GB_GCA_000435555.1,GB_GCA_000435555.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp000435555
31671489eec9e6554b7d7b9de0f312ad,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
02dd69f32d029212ba4c05fdb33b0375,RS_GCF_002834225.1,RS_GCF_002834225.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E bromii
214678a1b2f4e7ff799e6023ec12cda5,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
d908843e40ac3c814c843ffd04d14e95,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
bc7f8645f8f312b037f0c49558771e52,RS_GCF_000020225.1,RS_GCF_000020225.1,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia muciniphila
51bdae2694deb0dd094fd530c1355bd5,RS_GCF_004116265.1,RS_GCF_004116265.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Anaerobacillaceae,g__Anaerobacillus,s__Anaerobacillus sp004116265
77f8c15dbd7a7dc972e0fda89423225c,GB_GCA_000432375.1,GB_GCA_000432375.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-103,s__CAG-103 sp000432375
2a756a22868f5510382e008425ecff76,GB_GCA_900552845.1,GB_GCA_900552845.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Angelakisella,s__Angelakisella sp900552845
14e41cb0993d9b795370a1d0bac3d440,GB_GCA_003526955.1,GB_GCA_003526955.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp003526955
0c25a1a33efc4d30e64c1e908671e17b,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
4c1fe6bb22d5f0ba2801f8ad8cdcacfe,GB_GCA_900539885.1,GB_GCA_900539885.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium sp900539885
87e72039220211c30034edd0d107ea42,g__CAG-83,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,g__CAG-83.sp
eaf1c0f1cb446a3b88d9b9d634d69247,RS_GCF_000162015.1,RS_GCF_000162015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C
830cc49e1c8e54cf027fe6098e483352,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
9c9f246f310d82e735fdfd4eb84983d3,RS_GCF_000162015.1,RS_GCF_000162015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C
c0560f2bebe2a6c597aa388136f5a98a,RS_GCF_003460745.1,RS_GCF_003460745.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Monoglobales_A,f__UBA1381,g__CAG-41,s__CAG-41 sp900066215
a30fc1d9b2ea96d4b610daf5cba4ac6f,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
08d5c25d7ffbfc6c3674b09d2967c1cd,RS_GCF_002549755.1,RS_GCF_002549755.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_D
ad7a2df8c2ec45d4fbb33e686addfaf6,GB_GCA_900540775.1,GB_GCA_900540775.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp900540775
13f177c9ce47cc446aef0f89feafabbb,GB_GCA_003522945.1,GB_GCA_003522945.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UBA738,s__UBA738 sp003522945
654f0418c9a8760652c54c562600eadc,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
916e87d0ee9f681066c64179781bd180,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
1ef7a19e4763ae8623b8412db05067c9,RS_GCF_002550015.1,RS_GCF_002550015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_A
750a57430685026f2b9cfcad1f633ad4,GB_GCA_900542395.1,GB_GCA_900542395.1,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-74,g__SFFH01,s__SFFH01 sp900542395
05f64c2313410cec14e585df54b809a8,GB_GCA_900539885.1,GB_GCA_900539885.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium sp900539885
359f804809ac986b8b0653f6ba060de4,GB_GCA_900540775.1,GB_GCA_900540775.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp900540775
5c4b8052494f2af875a28bd2b3b4c5a3,GB_GCA_000435555.1,GB_GCA_000435555.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp000435555
5e4aa2fec43c210b30075a9008955608,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
1b173a7ebe15ee66ed580ec9afb27cee,GB_GCA_003525905.1,GB_GCA_003525905.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-110,s__CAG-110 sp003525905
046aa23aa9d7e7b392b923711d0225c3,GB_GCA_900539695.1,GB_GCA_900539695.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp900539695
e58060d5191d8d4ae824bf05d0557de5,g__Gemmiger,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,g__Gemmiger.sp
d56bb150b29ad4860616c0e136df3694,GB_GCA_000435555.1,GB_GCA_000435555.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp000435555
657b8604fcfe90014aa09129e97e5551,RS_GCF_002550015.1,RS_GCF_002550015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_A
e95d4e5a9a65ebcea0c6d6d5cbb5cd13,RS_GCF_003460745.1,RS_GCF_003460745.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Monoglobales_A,f__UBA1381,g__CAG-41,s__CAG-41 sp900066215
36813bfb10c804da9b538c8bdfbab2f8,GB_GCA_000437595.1,GB_GCA_000437595.1,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-74,g__UBA11524,s__UBA11524 sp000437595
620160377b6c68e9eb4506a9970b198e,GB_GCA_003522945.1,GB_GCA_003522945.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UBA738,s__UBA738 sp003522945
dd2f0b54774cc63dcd1f939814e0ddd5,GB_GCA_900539695.1,GB_GCA_900539695.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp900539695
a69448e1445261e25a38db49260afa9b,g__CAG-83,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,g__CAG-83.sp
07f99f18e94bd9fdda84e0421d08fd3b,GB_GCA_003487665.1,GB_GCA_003487665.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp003487665
ddfc1f115510233f4ef245c90a2d0186,GB_GCA_000435555.1,GB_GCA_000435555.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp000435555
5806098e5eea6a067ee62608c2cae6b7,RS_GCF_002549975.1,RS_GCF_002549975.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_H
9efc92b2b13b21bfa671042061369a47,RS_GCF_003324125.1,RS_GCF_003324125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
f855e2d5fc85694c2f1ceca22a894ce3,GB_GCA_000435555.1,GB_GCA_000435555.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp000435555
8fb96fe47a94be499ad01a09d99ce6a4,RS_GCF_000162015.1,RS_GCF_000162015.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C
860d42ad5de641d3c78d9f43883c3683,GB_GCA_002437575.1,GB_GCA_002437575.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-170,s__CAG-170 sp002437575
d9f8efca7133bb8a537f4f3dec1ea75f,RS_GCF_002549775.1,RS_GCF_002549775.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_F
3fa1a43c2cfc628b5cfb0888ea797b8b,GB_GCA_900545585.1,GB_GCA_900545585.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900545585
54dcd43ce49cee455205e0fc53346b0c,GB_GCA_900548615.1,GB_GCA_900548615.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900548615
b27900a5fe56aff06ca3521bad268c4e,GB_GCA_900548125.1,GB_GCA_900548125.1,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__CAG-74,g__SFFH01,s__SFFH01 sp900548125
483ccdaab1c43db886be7951d454ab79,GB_GCA_003487665.1,GB_GCA_003487665.1,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp003487665
